Country,Site,Time_Period,Absolute_Time,Unique,Culture,Reference,Species,Species_Sum,Percentage,Abundance,Absolute,Stetigkeit_(%_der_Fundplätze),Presence_Absence,Semi_Quantitative_old,Semi_Quantitative,Notes,...18
NL,"Bovenskarspel/Prov. Noord-Holland, NL",MBA B,1200-800,NA,Unknown,Kučan 2007,Panicum miliaceum,Panicum miliaceum,NA,NA,0,NA,0,0,0,NA,NA
NL,"Bovenskarspel/Prov. Noord-Holland, NL",MBA B,1200-800,NA,Unknown,Kučan 2007,Linum usitatissimum,Linum usitatissimum,NA,NA,<=100,NA,x,xx,xxx,NA,NA
NL,"Bovenskarspel/Prov. Noord-Holland, NL",MBA B,1200-800,NA,Unknown,Kučan 2007,Camelina sativa,Camelina sativa,NA,NA,0,NA,0,0,0,NA,NA
NL,"Bovenskarspel/Prov. Noord-Holland, NL",MBA B,1200-800,NA,Unknown,Kučan 2007,Vicia faba var. Minor,Vicia faba var. Minor,NA,NA,1-2,NA,x,x,x,NA,NA
NL,"Bovenskarspel/Prov. Noord-Holland, NL",MBA B,1200-800,NA,Unknown,Kučan 2007,Pisum sativum,Pisum sativum,NA,NA,0,NA,0,0,0,NA,NA
NL,"Elp 98/Prov. Drenthe, NL",MBA B,1500-1300,1,Unknown,Kučan 2007,Hordeum vulgare,Hordeum vulgare,NA,NA,>100,NA,x,xxx,xx,NA,NA
NL,"Elp 98/Prov. Drenthe, NL",MBA B,1500-1300,NA,Unknown,Kučan 2007,Hordeum vulgare nudum,Hordeum vulgare nudum,NA,NA,>100,NA,x,xxx,xx,NA,NA
NL,"Elp 98/Prov. Drenthe, NL",MBA B,1500-1300,NA,Unknown,Kučan 2007,Avena sativa,Avena sativa,NA,NA,0,NA,0,0,0,NA,NA
NL,"Elp 98/Prov. Drenthe, NL",MBA B,1500-1300,NA,Unknown,Kučan 2007,Avena fatua,Avena sp.,NA,NA,<=50,NA,x,x,x,NA,NA
NL,"Elp 98/Prov. Drenthe, NL",MBA B,1500-1300,NA,Unknown,Kučan 2007,Avena sp.,Avena sp.,NA,NA,0,NA,0,0,0,NA,NA
NL,"Elp 98/Prov. Drenthe, NL",MBA B,1500-1300,NA,Unknown,Kučan 2007,Triticum dicoccum,Triticum dicoccum,NA,NA,>100,NA,x,xxx,xx,NA,NA
NL,"Elp 98/Prov. Drenthe, NL",MBA B,1500-1300,NA,Unknown,Kučan 2007,Triticum monococcum,Triticum monococcum,NA,NA,0,NA,0,0,0,NA,NA
NL,"Elp 98/Prov. Drenthe, NL",MBA B,1500-1300,NA,Unknown,Kučan 2007,Triticum spelta,Triticum spelta,NA,NA,0,NA,0,0,0,NA,NA
NL,"Elp 98/Prov. Drenthe, NL",MBA B,1500-1300,NA,Unknown,Kučan 2007,Triticum aestivum s.l.,Triticum aestivum s.l.,NA,NA,0,NA,0,0,0,NA,NA
NL,"Elp 98/Prov. Drenthe, NL",MBA B,1500-1300,NA,Unknown,Kučan 2007,Secale cereale,Secale cereale,NA,NA,0,NA,0,0,0,NA,NA
NL,"Elp 98/Prov. Drenthe, NL",MBA B,1500-1300,NA,Unknown,Kučan 2007,Panicum miliaceum,Panicum miliaceum,NA,NA,1-2,NA,x,x,x,NA,NA
NL,"Elp 98/Prov. Drenthe, NL",MBA B,1500-1300,NA,Unknown,Kučan 2007,Linum usitatissimum,Linum usitatissimum,NA,NA,0,NA,0,0,0,NA,NA
NL,"Elp 98/Prov. Drenthe, NL",MBA B,1500-1300,NA,Unknown,Kučan 2007,Camelina sativa,Camelina sativa,NA,NA,0,NA,0,0,0,NA,NA
NL,"Elp 98/Prov. Drenthe, NL",MBA B,1500-1300,NA,Unknown,Kučan 2007,Vicia faba var. Minor,Vicia faba var. Minor,NA,NA,0,NA,0,0,0,NA,NA
NL,"Elp 98/Prov. Drenthe, NL",MBA B,1500-1300,NA,Unknown,Kučan 2007,Pisum sativum,Pisum sativum,NA,NA,0,NA,0,0,0,NA,NA
NL,"Twisk/Prov. Noord-Holland, NL",MBA B,1300-1200,1,Unknown,Kučan 2007,Hordeum vulgare,Hordeum vulgare,NA,NA,>100,NA,x,xxx,xx,NA,NA
NL,"Twisk/Prov. Noord-Holland, NL",MBA B,1300-1200,NA,Unknown,Kučan 2007,Hordeum vulgare var. Nudum,Hordeum vulgare nudum,NA,NA,>100,NA,x,xxx,xx,NA,NA
NL,"Twisk/Prov. Noord-Holland, NL",MBA B,1300-1200,NA,Unknown,Kučan 2007,Avena sativa,Avena sativa,NA,NA,0,NA,0,0,0,NA,NA
NL,"Twisk/Prov. Noord-Holland, NL",MBA B,1300-1200,NA,Unknown,Kučan 2007,Avena fatua,Avena sp.,NA,NA,0,NA,0,0,0,NA,NA
NL,"Twisk/Prov. Noord-Holland, NL",MBA B,1300-1200,NA,Unknown,Kučan 2007,Avena sp.,Avena sp.,NA,NA,0,NA,0,0,0,NA,NA
NL,"Twisk/Prov. Noord-Holland, NL",MBA B,1300-1200,NA,Unknown,Kučan 2007,Triticum dicoccum,Triticum dicoccum,NA,NA,>100,NA,x,xxx,xx,NA,NA
NL,"Twisk/Prov. Noord-Holland, NL",MBA B,1300-1200,NA,Unknown,Kučan 2007,Triticum monococcum,Triticum monococcum,NA,NA,0,NA,0,0,0,NA,NA
NL,"Twisk/Prov. Noord-Holland, NL",MBA B,1300-1200,NA,Unknown,Kučan 2007,Triticum spelta,Triticum spelta,NA,NA,0,NA,0,0,0,NA,NA
NL,"Twisk/Prov. Noord-Holland, NL",MBA B,1300-1200,NA,Unknown,Kučan 2007,Triticum aestivum s.l.,Triticum aestivum s.l.,NA,NA,0,NA,0,0,0,NA,NA
NL,"Twisk/Prov. Noord-Holland, NL",MBA B,1300-1200,NA,Unknown,Kučan 2007,Secale cereale,Secale cereale,NA,NA,0,NA,0,0,0,NA,NA
NL,"Twisk/Prov. Noord-Holland, NL",MBA B,1300-1200,NA,Unknown,Kučan 2007,Panicum miliaceum,Panicum miliaceum,NA,NA,0,NA,0,0,0,NA,NA
NL,"Twisk/Prov. Noord-Holland, NL",MBA B,1300-1200,NA,Unknown,Kučan 2007,Linum usitatissimum,Linum usitatissimum,NA,NA,0,NA,0,0,0,NA,NA
NL,"Twisk/Prov. Noord-Holland, NL",MBA B,1300-1200,NA,Unknown,Kučan 2007,Camelina sativa,Camelina sativa,NA,NA,0,NA,0,0,0,NA,NA
NL,"Twisk/Prov. Noord-Holland, NL",MBA B,1300-1200,NA,Unknown,Kučan 2007,Vicia faba var. Minor,Vicia faba var. Minor,NA,NA,0,NA,0,0,0,NA,NA
NL,"Twisk/Prov. Noord-Holland, NL",MBA B,1300-1200,NA,Unknown,Kučan 2007,Pisum sativum,Pisum sativum,NA,NA,0,NA,0,0,0,NA,NA
